iatiidentifier,donor_ref,donor,x1_donor_type,modality,status_code,status_name,recipient_main,commitment_usd,disbursement_usd,n_disb_years,first_disb_year,last_disb_year,y1_gap,planned_end,actual_end,y2_early_days,budget_orig,budget_ccy,n_budget_lines,cp_eligible,planned_start,actual_start
44000-P125943,44000,EN: World Bank,Multilateral,A02_sector,3,Finalisation,PH,,,,,,,2014-10-31,2014-10-31,0,-353112247.64,USD,100,0,2011-07-26,2011-09-13
44000-P126034,44000,EN: World Bank,Multilateral,A02_sector,3,Finalisation,KG,,,,,,,2014-09-30,2014-09-30,0,-48033464.46,USD,4,0,2012-06-26,2013-07-25
44000-P126038,44000,EN: World Bank,Multilateral,A02_sector,3,Finalisation,MK,,,,,,,2013-06-28,2013-06-28,0,-39043473.12,USD,4,0,2012-05-22,2012-11-29
44000-P126274,44000,EN: World Bank,Multilateral,A02_sector,3,Finalisation,KG,25000000.0,24942602.0,1,2014,2014,0.00229592,2015-12-31,2015-12-31,0,-46768246.14,USD,4,0,2013-06-25,2014-06-10
44000-P126297,44000,EN: World Bank,Multilateral,A02_sector,3,Finalisation,MX,,,,,,,2013-11-29,2013-11-29,0,117996604.42,USD,4,0,2012-03-27,2012-03-13
44000-P126351,44000,EN: World Bank,Multilateral,A02_sector,3,Finalisation,BR,,,,,,,2014-12-31,2014-12-31,0,-557813633.84,USD,4,0,2012-01-10,2012-06-28
44000-P126470,44000,EN: World Bank,Multilateral,A02_sector,3,Finalisation,SN,,,,,,,2015-03-31,2015-03-31,0,-52812923.88,USD,4,0,2012-05-29,2013-12-19
44000-P126580,44000,EN: World Bank,Multilateral,A02_sector,3,Finalisation,PH,0,500000000.0,2,2014,2015,,2015-06-30,2015-06-30,0,-1745166972.5,USD,4,0,2012-05-22,2013-03-19
44000-P126583,44000,EN: World Bank,Multilateral,A02_sector,3,Finalisation,CO,0,250000000.0,1,2020,2020,,2021-07-10,2021-07-10,0,-431448750.0,USD,220,0,2012-04-17,2012-07-10
44000-P126749,44000,EN: World Bank,Multilateral,A02_sector,3,Finalisation,BR,,,,,,,2014-12-31,2014-12-31,0,-135751580.56,USD,4,0,2012-03-28,2013-06-14
44000-P126903,44000,EN: World Bank,Multilateral,A02_sector,3,Finalisation,MU,,,,,,,2012-12-31,2012-12-31,0,-5512777.46,USD,4,0,2012-05-17,2012-03-27
44000-P127038,44000,EN: World Bank,Multilateral,A02_sector,3,Finalisation,MA,,,,,,,2013-12-31,2013-12-31,0,-194799077.82,USD,4,0,2011-12-18,2013-03-12
44000-P127201,44000,EN: World Bank,Multilateral,A02_sector,3,Finalisation,VN,,,,,,,2013-09-30,2013-09-30,0,-52888861.14,USD,4,0,2012-08-30,2012-11-08
